"Player_name","Team","Level","N","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","ID","Diff"
"Ｃ．Ｃ．リー","L","Farm",0,NA,NA,NA,NA,NA,NA,"Ｃ．Ｃ．リー L",0
"Ｃ．Ｃ．リー","L","Top",0,NA,NA,NA,NA,NA,NA,"Ｃ．Ｃ．リー L",0
"Ｇ．Ｇ．佐藤","M","Farm",185,0.253,0.335,2.7,18.9,9.7,0.285,"Ｇ．Ｇ．佐藤 M",NA
"Ｇ．Ｇ．佐藤","M","Top",54,0.255,0.335,3.7,27.8,5.6,0.324,"Ｇ．Ｇ．佐藤 M",NA
"Ｇ．後藤　武敏","DB","Farm",87,0.296,0.33,2.3,12.6,6.9,0.324,"Ｇ．後藤　武敏 DB",62
"Ｇ．後藤　武敏","DB","Top",25,0.136,0.206,0,16,12,0.167,"Ｇ．後藤　武敏 DB",62
"ＭＩＣＨＥＡＬ","L","Farm",0,NA,NA,NA,NA,NA,NA,"ＭＩＣＨＥＡＬ L",NA
"ＭＩＣＨＥＡＬ","L","Top",0,NA,NA,NA,NA,NA,NA,"ＭＩＣＨＥＡＬ L",NA
"Ｔ－岡田","Bs","Farm",263,0.286,0.327,3.04,14.8,6.1,0.308,"Ｔ－岡田 Bs",-1018
"Ｔ－岡田","Bs","Top",2607,0.273,0.347,3.72,20.7,8.3,0.316,"Ｔ－岡田 Bs",-1018
"アコスタ","G","Farm",0,NA,NA,NA,NA,NA,NA,"アコスタ G",NA
"アコスタ","G","Top",0,NA,NA,NA,NA,NA,NA,"アコスタ G",NA
"アダメス","G","Farm",0,NA,NA,NA,NA,NA,NA,"アダメス G",0
"アドゥワ　誠","C","Farm",3,0,0,0,33.3,0,0,"アドゥワ　誠 C",3
"アブレイユ","F","Farm",12,0.364,0.424,0,8.3,8.3,0.4,"アブレイユ F",NA
"アブレイユ","F","Top",593,0.281,0.37,5.4,23.4,10.1,0.321,"アブレイユ F",NA
"アブレイユ","G","Farm",42,0.057,0.151,0,38.1,14.3,0.1,"アブレイユ G",42
"アブレイユ","L","Farm",687,0.252,0.308,3.06,22.7,5.1,0.299,"アブレイユ L",NA
